bfs RESULTS
depth,expanded_nodes,max_fringe_size
11,1264,1276
5,56,70
7,136,147
3,18,23
5,44,49
9,420,431
5,60,71
7,140,165
13,2793,2861
13,2503,2602
9,337,373
5,56,70
9,326,358
5,48,52
13,3268,3259
9,319,350
5,60,71
11,784,846
11,1130,1154
5,60,71
11,876,926
7,179,193
5,54,60
13,2397,2523
7,150,175
5,34,43
7,129,143
3,12,16
9,324,345
5,44,49
3,14,22
5,36,43
9,318,342
5,48,52
3,14,21
5,42,48
11,1081,1098
9,332,366
13,2621,2713
9,311,338
7,112,138
15,8216,7935
9,301,332
7,136,163
5,60,71
11,1193,1204
9,413,442
7,154,176
9,339,356
3,10,16
9,329,347
5,36,43
5,44,49
5,59,69
7,150,155
9,324,344
11,1083,1099
3,12,16
5,59,69
7,136,147
3,16,19
5,44,49
7,135,163
7,158,163
9,339,356
5,54,60
5,54,60
13,2656,2728
3,18,23
11,1043,1078
9,451,473
17,15592,14867
7,140,165
3,12,16
7,158,163
3,18,23
7,164,186
11,814,872
11,968,1017
1,3,6
7,112,137
5,48,63
1,2,3
11,921,967
7,146,153
7,163,185
13,2693,2774
7,165,186
13,2958,2995
7,168,176
15,5740,5908
11,1221,1237
7,158,163
13,3301,3287
7,131,157
11,1065,1090
11,774,835
5,44,49
9,386,392
1,2,3
13,2295,2412
1,2,3
7,178,187
9,353,389
1,3,6
9,426,436
13,2130,2271
5,48,63
7,176,184
7,114,136
11,784,851
11,1201,1209
9,418,431
11,943,989
13,3317,3291
17,12887,12753
5,56,70
9,424,451
7,104,127
1,3,6
13,2732,2804
11,1290,1295
7,168,176
11,877,934
9,294,327
9,420,431
3,16,19
11,894,934
11,825,888
7,121,145
7,129,143
7,146,153
3,10,16
9,456,478
3,16,19
7,141,150
9,451,473
7,104,127
7,114,136
7,163,185
3,12,16
5,56,70
7,148,154
9,404,435
7,172,189
3,12,16
13,2348,2469
7,150,155
7,168,187
1,2,3
5,56,70
3,11,18
11,975,1021
11,800,865
7,179,193
5,36,43
7,154,176
13,3122,3127
5,43,57
9,301,332
13,3117,3142
5,55,69
11,840,898
7,104,127
15,7935,7679
15,6520,6526
9,292,325
3,14,22
5,36,43
5,44,49
13,2398,2524
7,179,193
9,331,348
7,136,147
15,7008,6988
7,158,163
11,1220,1236
1,2,3
11,1007,1051
1,3,6
3,12,16
11,1118,1146
5,60,71
11,1216,1235
3,12,16
11,966,1002
3,12,16
7,166,176
3,11,18
5,34,43
13,2262,2395
13,2901,2941
9,386,392
9,360,377
9,309,337
15,5936,6067
3,10,16
11,999,1032
15,5528,5720
5,54,60
average depth,average expanded nodes,average fringe size
7.8,885.84,902.71
UCS RESULTS
depth,expanded_nodes,max_fringe_size
11,1264,1275
5,56,69
7,136,146
3,18,22
5,44,48
9,420,430
5,60,70
7,140,164
13,2793,2860
13,2503,2601
9,337,372
5,56,69
9,326,357
5,48,51
13,3268,3258
9,319,349
5,60,70
11,784,845
11,1130,1153
5,60,70
11,876,925
7,179,192
5,54,59
13,2397,2522
7,150,174
5,34,42
7,129,142
3,12,15
9,324,344
5,44,48
3,14,21
5,36,42
9,318,341
5,48,51
3,14,20
5,42,47
11,1081,1097
9,332,365
13,2621,2712
9,311,337
7,112,137
15,8216,7934
9,301,331
7,136,162
5,60,70
11,1193,1203
9,413,441
7,154,175
9,339,355
3,10,15
9,329,346
5,36,42
5,44,48
5,59,68
7,150,154
9,324,343
11,1083,1098
3,12,15
5,59,68
7,136,146
3,16,18
5,44,48
7,135,162
7,158,162
9,339,355
5,54,59
5,54,59
13,2656,2727
3,18,22
11,1043,1077
9,451,472
17,15592,14866
7,140,164
3,12,15
7,158,162
3,18,22
7,164,185
11,814,871
11,968,1016
1,3,5
7,112,136
5,48,62
1,2,2
11,921,966
7,146,152
7,163,184
13,2693,2773
7,165,185
13,2958,2994
7,168,175
15,5740,5907
11,1221,1236
7,158,162
13,3301,3286
7,131,156
11,1065,1089
11,774,834
5,44,48
9,386,391
1,2,2
13,2295,2411
1,2,2
7,178,186
9,353,388
1,3,5
9,426,435
13,2130,2270
5,48,62
7,176,183
7,114,135
11,784,850
11,1201,1208
9,418,430
11,943,988
13,3317,3290
17,12887,12752
5,56,69
9,424,450
7,104,126
1,3,5
13,2732,2803
11,1290,1294
7,168,175
11,877,933
9,294,326
9,420,430
3,16,18
11,894,933
11,825,887
7,121,144
7,129,142
7,146,152
3,10,15
9,456,477
3,16,18
7,141,149
9,451,472
7,104,126
7,114,135
7,163,184
3,12,15
5,56,69
7,148,153
9,404,434
7,172,188
3,12,15
13,2348,2468
7,150,154
7,168,186
1,2,2
5,56,69
3,11,17
11,975,1020
11,800,864
7,179,192
5,36,42
7,154,175
13,3122,3126
5,43,56
9,301,331
13,3117,3141
5,55,68
11,840,897
7,104,126
15,7935,7678
15,6520,6525
9,292,324
3,14,21
5,36,42
5,44,48
13,2398,2523
7,179,192
9,331,347
7,136,146
15,7008,6987
7,158,162
11,1220,1235
1,2,2
11,1007,1050
1,3,5
3,12,15
11,1118,1145
5,60,70
11,1216,1234
3,12,15
11,966,1001
3,12,15
7,166,175
3,11,17
5,34,42
13,2262,2394
13,2901,2940
9,386,391
9,360,376
9,309,336
15,5936,6066
3,10,15
11,999,1031
15,5528,5719
5,54,59
average depth,average expanded nodes,average fringe size
7.8,885.84,901.71
Deepening DFS RESULTS
depth,expanded_nodes,max_fringe_size
11,142574,12
5,258,6
7,1411,8
3,31,4
5,179,6
9,13811,10
5,263,6
7,1543,8
13,822281,14
13,734195,14
9,9858,10
5,258,6
9,9737,10
5,185,6
13,1069698,14
9,7721,10
5,263,6
11,66257,12
11,111091,12
5,263,6
11,78062,12
7,2035,8
5,233,6
13,713721,14
7,1730,8
5,137,6
7,1267,8
3,19,4
9,8627,10
5,179,6
3,26,4
5,131,6
9,8579,10
5,185,6
3,26,4
5,174,6
11,102841,12
9,9777,10
13,782418,14
9,8435,10
7,1073,8
15,9102329,16
9,8322,10
7,1490,8
5,263,6
11,127214,12
9,13506,10
7,1735,8
9,8873,10
3,14,4
9,8814,10
5,131,6
5,179,6
5,273,6
7,1651,8
9,8627,10
11,103406,12
3,19,4
5,273,6
7,1411,8
3,25,4
5,179,6
7,1529,8
7,1705,8
9,8873,10
5,233,6
5,233,6
13,758771,14
3,31,4
11,95918,12
9,15921,10
17,47133683,18
7,1543,8
3,19,4
7,1705,8
3,31,4
7,1922,8
11,59054,12
11,92153,12
1,3,2
7,1073,8
5,210,6
1,2,1
11,89257,12
7,1465,8
7,1913,8
13,750129,14
7,1913,8
13,954489,14
7,1987,8
15,4420226,16
11,127097,12
7,1705,8
13,1140743,14
7,1457,8
11,102643,12
11,66115,12
5,179,6
9,11843,10
1,2,1
13,589241,14
1,2,1
7,2089,8
9,10233,10
1,3,2
9,13865,10
13,536963,14
5,210,6
7,2089,8
7,962,8
11,58361,12
11,127406,12
9,13806,10
11,91657,12
13,1078265,14
17,29880942,18
5,258,6
9,13689,10
7,1033,8
1,3,2
13,790530,14
11,131113,12
7,2035,8
11,70663,12
9,8274,10
9,13811,10
3,25,4
11,78830,12
11,67505,12
7,1159,8
7,1267,8
7,1465,8
3,14,4
9,15954,10
3,25,4
7,1454,8
9,15921,10
7,1033,8
7,1154,8
7,1913,8
3,19,4
5,258,6
7,1646,8
9,13305,10
7,2179,8
3,19,4
13,568259,14
7,1651,8
7,1927,8
1,2,1
5,258,6
3,17,4
11,93193,12
11,71033,12
7,2035,8
5,131,6
7,1735,8
13,984569,14
5,177,6
9,8322,10
13,1042439,14
5,249,6
11,61586,12
7,1033,8
15,8360947,16
15,5806994,16
9,7278,10
3,26,4
5,131,6
5,179,6
13,713730,14
7,2227,8
9,9203,10
7,1411,8
15,6874754,16
7,1705,8
11,139399,12
1,2,1
11,97841,12
1,3,2
3,19,4
11,110930,12
5,263,6
11,139394,12
3,19,4
11,90247,12
3,19,4
7,2030,8
3,17,4
5,137,6
13,564114,14
13,887363,14
9,11843,10
9,11207,10
9,8430,10
15,4534663,16
3,14,4
11,90833,12
15,3925937,16
5,233,6
average depth,average expanded nodes,average fringe size
7.8,694114.335,8.775
DFS RESULTS
depth,expanded_nodes,max_fringe_size
0,0,0
0,0,0
0,0,0
0,0,0
59,61,79
0,0,0
0,0,0
0,0,0
0,0,0
121,124,159
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
897,916,1147
0,0,0
0,0,0
0,0,0
431,442,557
0,0,0
0,0,0
59,61,79
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
