H1 RESULTS
depth,expanded_nodes,max_fringe_size,branching factor
11,72,47,1.475
5,6,7,1.431
7,14,13,1.458
3,4,6,1.587
5,6,7,1.431
9,27,24,1.442
5,7,7,1.476
7,10,10,1.389
13,143,85,1.465
13,184,114,1.494
9,33,27,1.475
5,6,7,1.431
9,33,28,1.475
5,6,5,1.431
13,177,121,1.489
9,31,27,1.465
5,6,7,1.431
11,65,46,1.462
11,59,42,1.449
5,6,7,1.431
11,91,59,1.507
7,15,12,1.472
5,6,7,1.431
13,175,107,1.488
7,15,13,1.472
5,7,7,1.476
7,19,15,1.523
3,5,6,1.71
9,28,23,1.448
5,6,7,1.431
3,4,6,1.587
5,10,10,1.585
9,34,26,1.48
5,6,5,1.431
3,5,6,1.71
5,6,7,1.431
11,58,41,1.446
9,41,28,1.511
13,185,115,1.494
9,38,28,1.498
7,19,14,1.523
15,434,242,1.499
9,27,24,1.442
7,9,8,1.369
5,6,7,1.431
11,56,45,1.442
9,38,28,1.498
7,18,17,1.511
9,34,22,1.48
3,4,6,1.587
9,25,20,1.43
5,10,10,1.585
5,8,9,1.516
5,7,7,1.476
7,16,15,1.486
9,30,25,1.459
11,59,45,1.449
3,5,6,1.71
5,7,7,1.476
7,14,13,1.458
3,4,4,1.587
5,6,7,1.431
7,9,6,1.369
7,19,14,1.523
9,34,22,1.48
5,8,7,1.516
5,8,7,1.516
13,127,83,1.452
3,4,6,1.587
11,61,47,1.453
9,30,20,1.459
17,944,535,1.496
7,10,10,1.389
3,5,6,1.71
7,19,14,1.523
3,4,6,1.587
7,12,12,1.426
11,69,48,1.469
11,78,53,1.486
1,2,3,2.0
7,19,14,1.523
5,10,10,1.585
1,2,3,2.0
11,75,50,1.481
7,9,8,1.369
7,9,8,1.369
13,184,114,1.494
7,15,12,1.472
13,158,95,1.476
7,9,8,1.369
15,457,269,1.504
11,70,46,1.471
7,19,14,1.523
13,198,127,1.502
7,9,8,1.369
11,92,63,1.508
11,83,60,1.494
5,6,7,1.431
9,26,21,1.436
1,2,3,2.0
13,149,96,1.469
1,2,3,2.0
7,13,13,1.443
9,19,12,1.387
1,2,3,2.0
9,24,17,1.423
13,193,120,1.499
5,10,10,1.585
7,9,8,1.369
7,15,12,1.472
11,63,42,1.457
11,86,63,1.499
9,32,24,1.47
11,63,48,1.457
13,175,107,1.488
17,862,529,1.488
5,8,9,1.516
9,21,20,1.403
7,17,14,1.499
1,2,3,2.0
13,143,90,1.465
11,83,61,1.494
7,9,8,1.369
11,59,45,1.449
9,43,29,1.519
9,27,24,1.442
3,4,4,1.587
11,65,46,1.462
11,70,50,1.471
7,15,13,1.472
7,15,13,1.472
7,9,8,1.369
3,4,6,1.587
9,26,21,1.436
3,4,4,1.587
7,13,12,1.443
9,30,20,1.459
7,9,8,1.369
7,13,13,1.443
7,9,8,1.369
3,4,6,1.587
5,8,9,1.516
7,15,13,1.472
9,13,10,1.33
7,17,15,1.499
3,4,6,1.587
13,164,109,1.48
7,16,15,1.486
7,15,14,1.472
1,2,3,2.0
5,6,7,1.431
3,4,4,1.587
11,70,50,1.471
11,50,38,1.427
7,15,12,1.472
5,7,7,1.476
7,18,17,1.511
13,187,112,1.495
5,6,7,1.431
9,27,24,1.442
13,186,119,1.495
5,6,5,1.431
11,75,56,1.481
7,17,14,1.499
15,308,193,1.465
15,441,279,1.501
9,35,28,1.484
3,4,6,1.587
5,10,10,1.585
5,6,7,1.431
13,193,121,1.499
7,13,13,1.443
9,22,17,1.41
7,14,13,1.458
15,398,251,1.49
7,19,14,1.523
11,61,44,1.453
1,2,3,2.0
11,52,34,1.432
1,2,3,2.0
3,5,6,1.71
11,63,43,1.457
5,7,7,1.476
11,61,48,1.453
3,5,6,1.71
11,64,43,1.459
3,4,6,1.587
7,10,10,1.389
3,4,4,1.587
5,7,7,1.476
13,184,126,1.494
13,158,102,1.476
9,26,21,1.436
9,29,22,1.454
9,45,30,1.526
15,462,263,1.505
3,4,6,1.587
11,78,54,1.486
15,439,263,1.5
5,6,7,1.431
average depth,average expanded nodes,average fringe size
7.8,59.84,40.015,1.506
H2 RESULTS
depth,expanded_nodes,max_fringe_size,branching factor
11,24,21,1.335
5,6,7,1.431
7,10,11,1.389
3,4,6,1.587
5,6,7,1.431
9,17,14,1.37
5,6,7,1.431
7,9,8,1.369
13,25,20,1.281
13,56,40,1.363
9,18,14,1.379
5,6,7,1.431
9,16,14,1.361
5,6,5,1.431
13,69,49,1.385
9,22,19,1.41
5,6,7,1.431
11,36,27,1.385
11,27,21,1.349
5,6,7,1.431
11,44,31,1.411
7,9,10,1.369
5,6,7,1.431
13,60,44,1.37
7,9,10,1.369
5,6,7,1.431
7,15,13,1.472
3,4,6,1.587
9,13,14,1.33
5,6,7,1.431
3,4,6,1.587
5,6,7,1.431
9,14,14,1.341
5,6,5,1.431
3,4,6,1.587
5,6,7,1.431
11,12,10,1.253
9,19,15,1.387
13,66,57,1.38
9,14,14,1.341
7,15,12,1.472
15,128,88,1.382
9,17,16,1.37
7,8,8,1.346
5,6,7,1.431
11,28,24,1.354
9,14,14,1.341
7,13,12,1.443
9,17,15,1.37
3,4,6,1.587
9,10,9,1.292
5,6,7,1.431
5,7,7,1.476
5,6,7,1.431
7,10,10,1.389
9,14,13,1.341
11,24,18,1.335
3,4,6,1.587
5,6,7,1.431
7,10,11,1.389
3,4,4,1.587
5,6,7,1.431
7,8,6,1.346
7,12,11,1.426
9,17,15,1.37
5,7,7,1.476
5,7,7,1.476
13,22,17,1.268
3,4,6,1.587
11,22,18,1.324
9,17,13,1.37
17,155,100,1.345
7,9,8,1.369
3,4,6,1.587
7,12,11,1.426
3,4,6,1.587
7,10,11,1.389
11,38,31,1.392
11,40,33,1.398
1,2,3,2.0
7,12,11,1.426
5,6,7,1.431
1,2,3,2.0
11,36,27,1.385
7,8,8,1.346
7,8,8,1.346
13,67,55,1.382
7,11,9,1.409
13,50,36,1.351
7,8,8,1.346
15,153,103,1.398
11,27,21,1.349
7,12,11,1.426
13,77,50,1.397
7,8,8,1.346
11,35,29,1.382
11,34,28,1.378
5,6,7,1.431
9,10,9,1.292
1,2,3,2.0
13,27,19,1.289
1,2,3,2.0
7,11,9,1.409
9,11,9,1.305
1,2,3,2.0
9,14,13,1.341
13,66,48,1.38
5,6,7,1.431
7,8,8,1.346
7,9,10,1.369
11,21,14,1.319
11,41,34,1.402
9,14,12,1.341
11,26,21,1.345
13,60,44,1.37
17,133,92,1.333
5,7,7,1.476
9,15,11,1.351
7,8,8,1.346
1,2,3,2.0
13,29,24,1.296
11,42,28,1.405
7,8,8,1.346
11,24,18,1.335
9,27,22,1.442
9,17,14,1.37
3,4,4,1.587
11,27,19,1.349
11,36,27,1.385
7,8,8,1.346
7,9,10,1.369
7,8,8,1.346
3,4,6,1.587
9,10,9,1.292
3,4,4,1.587
7,10,11,1.389
9,17,13,1.37
7,8,8,1.346
7,11,11,1.409
7,8,8,1.346
3,4,6,1.587
5,7,7,1.476
7,8,8,1.346
9,10,7,1.292
7,11,11,1.409
3,4,6,1.587
13,46,36,1.342
7,10,10,1.389
7,11,11,1.409
1,2,3,2.0
5,6,7,1.431
3,4,4,1.587
11,26,24,1.345
11,19,14,1.307
7,9,10,1.369
5,6,7,1.431
7,13,12,1.443
13,77,57,1.397
5,6,7,1.431
9,17,16,1.37
13,55,40,1.361
5,6,5,1.431
11,25,21,1.34
7,8,8,1.346
15,25,20,1.239
15,125,86,1.38
9,15,13,1.351
3,4,6,1.587
5,6,7,1.431
5,6,7,1.431
13,74,53,1.392
7,11,11,1.409
9,10,9,1.292
7,10,11,1.389
15,97,64,1.357
7,12,11,1.426
11,19,17,1.307
1,2,3,2.0
11,20,14,1.313
1,2,3,2.0
3,4,6,1.587
11,27,21,1.349
5,6,7,1.431
11,28,22,1.354
3,4,6,1.587
11,20,17,1.313
3,4,6,1.587
7,9,8,1.369
3,4,4,1.587
5,6,7,1.431
13,61,45,1.372
13,34,26,1.312
9,10,9,1.292
9,12,12,1.318
9,26,23,1.436
15,120,82,1.376
3,4,6,1.587
11,29,24,1.358
15,113,75,1.37
5,6,7,1.431
average depth,average expanded nodes,average fringe size
7.8,20.83,16.895,1.429
H3 RESULTS
depth,expanded_nodes,max_fringe_size,branching factor
11,24,21,1.335
5,6,7,1.431
7,10,11,1.389
3,4,6,1.587
5,6,7,1.431
9,17,14,1.37
5,6,7,1.431
7,9,8,1.369
13,18,15,1.249
13,48,36,1.347
9,18,14,1.379
5,6,7,1.431
9,16,14,1.361
5,6,5,1.431
13,67,49,1.382
9,22,19,1.41
5,6,7,1.431
11,35,24,1.382
11,23,19,1.33
5,6,7,1.431
11,42,30,1.405
7,9,10,1.369
5,6,7,1.431
13,56,40,1.363
7,9,10,1.369
5,6,7,1.431
7,15,13,1.472
3,4,6,1.587
9,12,12,1.318
5,6,7,1.431
3,4,6,1.587
