H1 RESULTS
depth         ,expanded_nodes         ,max_fringe_size     ,branching factor
13            ,158                    ,100                 ,1.476
11            ,67                     ,48                  ,1.466
9             ,28                     ,23                  ,1.448
1             ,2                      ,3                   ,2.0
3             ,4                      ,6                   ,1.587
1             ,2                      ,3                   ,2.0
7             ,17                     ,15                  ,1.499
7             ,18                     ,14                  ,1.511
7             ,14                     ,13                  ,1.458
7             ,16                     ,15                  ,1.486
11            ,57                     ,41                  ,1.444
5             ,7                      ,7                   ,1.476
1             ,2                      ,3                   ,2.0
7             ,15                     ,14                  ,1.472
9             ,34                     ,26                  ,1.48
11            ,61                     ,47                  ,1.453
1             ,2                      ,3                   ,2.0
5             ,7                      ,7                   ,1.476
13            ,202                    ,119                 ,1.504
7             ,18                     ,17                  ,1.511
9             ,23                     ,19                  ,1.417
3             ,5                      ,6                   ,1.71
9             ,21                     ,17                  ,1.403
15            ,432                    ,252                 ,1.499
11            ,56                     ,40                  ,1.442
9             ,34                     ,22                  ,1.48
11            ,59                     ,42                  ,1.449
9             ,35                     ,26                  ,1.484
15            ,366                    ,214                 ,1.482
7             ,15                     ,14                  ,1.472
9             ,37                     ,28                  ,1.494
7             ,10                     ,8                   ,1.389
7             ,10                     ,10                  ,1.389
7             ,9                      ,6                   ,1.369
5             ,8                      ,7                   ,1.516
5             ,6                      ,7                   ,1.431
9             ,23                     ,17                  ,1.417
1             ,2                      ,3                   ,2.0
5             ,6                      ,7                   ,1.431
9             ,29                     ,22                  ,1.454
11            ,56                     ,42                  ,1.442
9             ,30                     ,23                  ,1.459
7             ,19                     ,14                  ,1.523
9             ,34                     ,24                  ,1.48
7             ,9                      ,8                   ,1.369
5             ,10                     ,10                  ,1.585
5             ,8                      ,7                   ,1.516
5             ,7                      ,7                   ,1.476
13            ,161                    ,107                 ,1.478
5             ,6                      ,5                   ,1.431
7             ,19                     ,16                  ,1.523
7             ,9                      ,6                   ,1.369
15            ,429                    ,250                 ,1.498
11            ,48                     ,37                  ,1.422
3             ,5                      ,6                   ,1.71
13            ,206                    ,130                 ,1.507
3             ,4                      ,4                   ,1.587
9             ,30                     ,24                  ,1.459
9             ,29                     ,21                  ,1.454
5             ,7                      ,7                   ,1.476
7             ,17                     ,15                  ,1.499
9             ,30                     ,22                  ,1.459
9             ,32                     ,24                  ,1.47
15            ,394                    ,231                 ,1.489
7             ,15                     ,12                  ,1.472
7             ,13                     ,13                  ,1.443
7             ,19                     ,15                  ,1.523
9             ,31                     ,22                  ,1.465
3             ,4                      ,6                   ,1.587
9             ,31                     ,27                  ,1.465
11            ,78                     ,53                  ,1.486
7             ,16                     ,15                  ,1.486
3             ,5                      ,6                   ,1.71
3             ,4                      ,6                   ,1.587
11            ,75                     ,50                  ,1.481
7             ,13                     ,12                  ,1.443
7             ,18                     ,14                  ,1.511
13            ,185                    ,115                 ,1.494
5             ,7                      ,7                   ,1.476
1             ,2                      ,3                   ,2.0
5             ,10                     ,10                  ,1.585
11            ,70                     ,50                  ,1.471
7             ,17                     ,15                  ,1.499
13            ,159                    ,103                 ,1.477
13            ,159                    ,103                 ,1.477
11            ,74                     ,52                  ,1.479
3             ,4                      ,6                   ,1.587
5             ,7                      ,7                   ,1.476
7             ,18                     ,17                  ,1.511
5             ,6                      ,5                   ,1.431
13            ,166                    ,112                 ,1.482
11            ,61                     ,44                  ,1.453
9             ,23                     ,17                  ,1.417
7             ,19                     ,14                  ,1.523
3             ,4                      ,6                   ,1.587
11            ,63                     ,47                  ,1.457
11            ,67                     ,47                  ,1.466
3             ,5                      ,6                   ,1.71
11            ,80                     ,58                  ,1.489
7             ,13                     ,13                  ,1.443
15            ,458                    ,276                 ,1.504
9             ,27                     ,24                  ,1.442
7             ,9                      ,8                   ,1.369
3             ,4                      ,6                   ,1.587
1             ,2                      ,3                   ,2.0
13            ,170                    ,113                 ,1.484
5             ,7                      ,7                   ,1.476
