bfs RESULTS           ,                       ,
depth                 ,expanded_nodes         ,max_fringe_size
13                    ,3198                   ,3198
11                    ,1076                   ,1110
9                     ,324                    ,345
1                     ,3                      ,6
3                     ,12                     ,16
1                     ,2                      ,3
7                     ,150                    ,155
7                     ,154                    ,176
7                     ,158                    ,180
7                     ,117                    ,144
11                    ,1016                   ,1058
5                     ,34                     ,43
1                     ,2                      ,3
7                     ,141                    ,150
9                     ,421                    ,447
11                    ,935                    ,970
1                     ,3                      ,6
5                     ,34                     ,43
13                    ,2110                   ,2255
7                     ,154                    ,176
9                     ,419                    ,447
3                     ,12                     ,16
9                     ,358                    ,391
15                    ,6122                   ,6210
11                    ,990                    ,1033
9                     ,400                    ,429
11                    ,861                    ,913
9                     ,415                    ,427
15                    ,8042                   ,7764
7                     ,177                    ,192
9                     ,302                    ,333
7                     ,113                    ,135
7                     ,140                    ,165
7                     ,172                    ,179
5                     ,54                     ,60
5                     ,44                     ,49
9                     ,327                    ,346
1                     ,2                      ,3
5                     ,42                     ,48
9                     ,487                    ,500
11                    ,1028                   ,1068
9                     ,464                    ,484
7                     ,112                    ,138
9                     ,402                    ,413
7                     ,163                    ,185
5                     ,48                     ,63
5                     ,54                     ,60
5                     ,60                     ,71
13                    ,3083                   ,3109
5                     ,48                     ,52
7                     ,144                    ,169
7                     ,135                    ,163
15                    ,8119                   ,7827
11                    ,1194                   ,1204
3                     ,14                     ,21
13                    ,3221                   ,3224
3                     ,16                     ,19
9                     ,305                    ,334
9                     ,368                    ,380
5                     ,34                     ,43
7                     ,106                    ,129
9                     ,356                    ,376
9                     ,464                    ,476
15                    ,7868                   ,7646
7                     ,114                    ,136
7                     ,179                    ,193
7                     ,129                    ,143
9                     ,382                    ,388
3                     ,10                     ,16
9                     ,314                    ,338
11                    ,1244                   ,1250
7                     ,150                    ,155
3                     ,14                     ,21
3                     ,10                     ,16
11                    ,921                    ,967
7                     ,166                    ,187
7                     ,127                    ,142
13                    ,2621                   ,2713
5                     ,34                     ,43
1                     ,2                      ,3
5                     ,48                     ,63
11                    ,975                    ,1021
7                     ,106                    ,129
13                    ,3149                   ,3157
13                    ,2803                   ,2858
11                    ,1289                   ,1301
3                     ,12                     ,16
5                     ,36                     ,43
7                     ,154                    ,176
5                     ,48                     ,52
13                    ,3029                   ,3053
11                    ,1076                   ,1095
9                     ,426                    ,452
7                     ,112                    ,138
3                     ,18                     ,23
11                    ,1016                   ,1048
11                    ,933                    ,969
3                     ,14                     ,21
11                    ,885                    ,930
7                     ,132                    ,161
15                    ,6653                   ,6645
9                     ,438                    ,458
7                     ,163                    ,185
3                     ,18                     ,23
1                     ,3                      ,6
13                    ,3097                   ,3126
5                     ,34                     ,43
7                     ,150                    ,155
9                     ,327                    ,346
11                    ,966                    ,1011
9                     ,301                    ,333
5                     ,54                     ,60
1                     ,3                      ,6
9                     ,379                    ,388
5                     ,55                     ,69
5                     ,56                     ,70
5                     ,60                     ,71
7                     ,158                    ,163
9                     ,409                    ,437
11                    ,979                    ,1011
7                     ,106                    ,129
3                     ,14                     ,21
7                     ,177                    ,192
9                     ,487                    ,501
1                     ,2                      ,3
7                     ,127                    ,142
11                    ,1012                   ,1056
3                     ,12                     ,16
11                    ,1131                   ,1151
9                     ,301                    ,332
13                    ,2403                   ,2518
9                     ,331                    ,348
9                     ,405                    ,436
7                     ,135                    ,163
7                     ,113                    ,135
11                    ,1103                   ,1136
7                     ,118                    ,137
3                     ,14                     ,22
11                    ,1130                   ,1154
7                     ,129                    ,143
9                     ,438                    ,458
13                    ,2440                   ,2561
9                     ,368                    ,380
15                    ,6486                   ,6547
7                     ,177                    ,192
1                     ,2                      ,3
9                     ,315                    ,345
9                     ,451                    ,463
5                     ,54                     ,60
17                    ,19808                  ,17901
7                     ,179                    ,193
7                     ,136                    ,163
5                     ,43                     ,57
9                     ,318                    ,342
9                     ,477                    ,495
9                     ,410                    ,418
9                     ,318                    ,342
9                     ,306                    ,338
1                     ,3                      ,6
3                     ,14                     ,21
9                     ,402                    ,412
5                     ,43                     ,57
5                     ,34                     ,43
7                     ,163                    ,172
9                     ,472                    ,490
9                     ,472                    ,490
1                     ,2                      ,3
9                     ,386                    ,392
9                     ,322                    ,343
3                     ,12                     ,16
3                     ,12                     ,16
19                    ,30725                  ,27187
13                    ,3085                   ,3089
7                     ,135                    ,163
7                     ,168                    ,187
5                     ,36                     ,43
7                     ,179                    ,193
5                     ,43                     ,57
9                     ,396                    ,403
11                    ,868                    ,926
9                     ,305                    ,334
1                     ,2                      ,3
11                    ,838                    ,899
7                     ,163                    ,172
7                     ,165                    ,186
11                    ,961                    ,1000
5                     ,34                     ,43
11                    ,985                    ,1030
3                     ,18                     ,23
5                     ,48                     ,63
7                     ,118                    ,137
9                     ,487                    ,500
1                     ,2                      ,3
13                    ,3297                   ,3287
11                    ,875                    ,925
7                     ,117                    ,143
11                    ,1007                   ,1051
7                     ,106                    ,129
11                    ,1141                   ,1167
3                     ,14                     ,21
9                     ,417                    ,430
11                    ,1144                   ,1164
7                     ,168                    ,176
11                    ,1043                   ,1073
9                     ,315                    ,338
7                     ,136                    ,163
9                     ,300                    ,331
17                    ,17991                  ,16631
9                     ,412                    ,421
11                    ,913                    ,959
7                     ,163                    ,172
5                     ,44                     ,49
5                     ,54                     ,60
7                     ,106                    ,129
3                     ,12                     ,16
5                     ,60                     ,71
7                     ,179                    ,193
5                     ,48                     ,63
15                    ,8438                   ,8097
1                     ,2                      ,3
1                     ,3                      ,6
7                     ,172                    ,189
3                     ,10                     ,16
7                     ,144                    ,169
9                     ,492                    ,503
7                     ,177                    ,192
7                     ,158                    ,163
11                    ,1103                   ,1136
