H1 RESULTS
depth,expanded_nodes,max_fringe_size,branching factor
5,8,9,1.516
5,7,7,1.476
9,26,23,1.436
13,209,131,1.508
11,75,54,1.481
9,22,17,1.41
7,12,12,1.426
7,19,14,1.523
11,91,60,1.507
3,4,6,1.587
9,24,22,1.423
9,22,17,1.41
1,2,3,2.0
11,69,48,1.469
15,434,271,1.499
11,71,50,1.473
9,13,10,1.33
7,10,8,1.389
1,2,3,2.0
3,4,6,1.587
7,10,10,1.389
5,7,7,1.476
9,33,26,1.475
5,6,5,1.431
13,171,112,1.485
13,195,121,1.5
5,10,10,1.585
11,65,49,1.462
7,18,14,1.511
5,6,7,1.431
9,25,21,1.43
11,58,42,1.446
1,2,3,2.0
7,9,6,1.369
11,102,69,1.523
7,9,8,1.369
5,8,9,1.516
5,6,7,1.431
7,9,8,1.369
7,15,12,1.472
7,13,12,1.443
7,9,8,1.369
3,4,4,1.587
9,38,28,1.498
7,15,14,1.472
9,34,26,1.48
3,4,4,1.587
7,15,14,1.472
9,35,27,1.484
5,6,5,1.431
3,5,6,1.71
1,2,3,2.0
7,9,8,1.369
17,864,507,1.488
3,4,6,1.587
11,62,46,1.455
3,5,6,1.71
3,5,6,1.71
3,4,4,1.587
11,58,41,1.446
7,9,8,1.369
7,9,8,1.369
7,15,12,1.472
5,7,7,1.476
1,2,3,2.0
3,4,4,1.587
7,19,15,1.523
3,4,6,1.587
9,23,19,1.417
7,9,8,1.369
7,13,12,1.443
7,19,16,1.523
7,15,13,1.472
7,17,15,1.499
13,159,99,1.477
7,10,8,1.389
5,7,7,1.476
17,978,588,1.499
7,9,8,1.369
9,28,24,1.448
1,2,3,2.0
5,6,7,1.431
9,30,21,1.459
13,200,125,1.503
9,23,19,1.417
9,26,23,1.436
3,4,6,1.587
5,6,7,1.431
17,961,580,1.498
7,13,12,1.443
5,7,7,1.476
9,18,17,1.379
7,9,8,1.369
7,9,8,1.369
5,10,10,1.585
5,6,7,1.431
1,2,3,2.0
9,30,24,1.459
7,13,13,1.443
13,175,116,1.488
7,15,13,1.472
5,8,7,1.516
7,17,14,1.499
5,7,7,1.476
13,138,88,1.461
7,15,13,1.472
5,10,10,1.585
9,21,17,1.403
3,4,6,1.587
5,6,7,1.431
17,957,552,1.497
9,25,20,1.43
3,5,6,1.71
9,31,24,1.465
7,9,8,1.369
5,8,7,1.516
7,9,8,1.369
15,429,262,1.498
15,453,263,1.503
9,22,17,1.41
9,27,24,1.442
7,10,8,1.389
1,2,3,2.0
5,6,5,1.431
5,10,10,1.585
15,419,254,1.496
13,149,96,1.469
13,167,111,1.482
7,9,6,1.369
7,13,13,1.443
3,4,6,1.587
5,6,7,1.431
9,21,17,1.403
5,7,7,1.476
11,58,43,1.446
9,34,24,1.48
9,33,28,1.475
13,167,108,1.482
5,6,7,1.431
9,26,20,1.436
7,19,16,1.523
7,19,14,1.523
7,19,15,1.523
13,145,91,1.466
11,68,51,1.468
5,8,7,1.516
13,170,110,1.484
5,7,7,1.476
5,6,5,1.431
9,22,17,1.41
11,62,48,1.455
13,145,94,1.466
7,9,6,1.369
13,160,103,1.478
3,4,6,1.587
9,26,20,1.436
13,203,130,1.505
5,6,7,1.431
7,15,13,1.472
7,15,13,1.472
9,34,22,1.48
11,83,60,1.494
3,4,6,1.587
11,69,51,1.469
7,13,13,1.443
1,2,3,2.0
7,9,8,1.369
11,68,52,1.468
11,88,55,1.502
5,6,7,1.431
1,2,3,2.0
13,175,113,1.488
7,19,14,1.523
1,2,3,2.0
3,4,4,1.587
7,15,13,1.472
11,80,53,1.489
9,28,23,1.448
9,31,27,1.465
9,30,24,1.459
13,163,107,1.48
3,5,6,1.71
9,27,18,1.442
3,4,4,1.587
9,29,25,1.454
11,74,50,1.479
13,185,119,1.494
7,15,13,1.472
11,65,46,1.462
7,15,13,1.472
5,7,7,1.476
1,2,3,2.0
7,9,8,1.369
3,5,6,1.71
5,10,10,1.585
9,36,29,1.489
5,6,7,1.431
1,2,3,2.0
1,2,3,2.0
1,2,3,2.0
5,8,9,1.516
3,4,4,1.587
7,9,8,1.369
7,13,12,1.443
5,10,10,1.585
5,6,5,1.431
1,2,3,2.0
5,8,9,1.516
9,34,26,1.48
9,25,21,1.43
5,6,7,1.431
7,9,8,1.369
5,7,7,1.476
13,157,105,1.475
13,207,130,1.507
7,9,6,1.369
9,27,18,1.442
5,10,10,1.585
15,375,240,1.485
9,35,27,1.484
13,151,97,1.471
11,67,52,1.466
11,58,37,1.446
11,74,53,1.479
5,7,7,1.476
7,16,14,1.486
9,32,24,1.47
9,25,20,1.43
13,149,96,1.469
9,18,17,1.379
9,25,21,1.43
11,65,43,1.462
9,23,19,1.417
7,17,15,1.499
5,7,7,1.476
9,29,22,1.454
5,8,7,1.516
15,376,226,1.485
9,23,19,1.417
7,16,14,1.486
5,6,7,1.431
1,2,3,2.0
9,30,25,1.459
9,24,22,1.423
11,99,62,1.519
9,40,30,1.507
3,5,6,1.71
15,421,243,1.496
11,52,35,1.432
7,10,10,1.389
3,4,6,1.587
5,8,7,1.516
11,80,53,1.489
9,13,10,1.33
7,9,8,1.369
13,209,125,1.508
7,15,13,1.472
11,64,47,1.459
7,9,8,1.369
3,4,4,1.587
13,155,102,1.474
3,5,6,1.71
7,12,12,1.426
15,387,237,1.488
13,155,105,1.474
7,13,12,1.443
9,29,21,1.454
7,15,13,1.472
9,30,25,1.459
5,7,7,1.476
5,6,5,1.431
9,22,17,1.41
3,4,6,1.587
5,7,7,1.476
